SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
139,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 19:30,0.663
140,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 19:45,0.662
141,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 20:00,0
142,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 20:15,0.662
143,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 20:30,0.666
144,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 20:45,0.666
145,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 21:00,0
146,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 21:15,0.662
147,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 21:30,0.664
148,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 21:45,0.666
149,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 22:00,0
150,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 22:15,0.665
151,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 22:30,0.663
152,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 22:45,0.662
153,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 23:00,0
154,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 23:15,0.662
155,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 23:30,0.662
156,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,02-10-2012 23:45,0.662
157,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 00:00,0
158,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 00:15,0.659
159,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 00:30,0.659
160,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 00:45,0.659
161,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 00:59,0.644
162,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 01:15,0.646
163,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 01:30,0.65
164,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 01:45,0.648
165,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 01:59,0.655
166,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 02:15,0.654
167,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 02:30,0.635
168,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 02:45,0.651
169,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 02:59,0.643
170,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 03:15,0.653
171,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 03:30,0.644
172,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 03:45,0.636
173,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 03:59,0.652
174,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 04:15,0.635
175,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 04:30,0.632
176,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 04:45,0.638
177,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 04:59,0.641
178,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,03-10-2012 05:15,0.641
179,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,21-04-2020 23:15,0
180,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,21-04-2020 23:30,0
181,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,21-04-2020 23:45,0
182,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,22-04-2020 00:00,0
183,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,22-04-2020 00:15,0
184,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,22-04-2020 00:30,0
185,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,22-04-2020 00:45,0
186,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,22-04-2020 01:00,0
187,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,22-04-2020 01:15,0
188,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,22-04-2020 01:30,0
189,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,22-04-2020 01:45,0
190,Nallavagu,Telangana SW,36,Telangana,685,KAMAREDDY,Pitlam ,-,-,Godavari,Godavari,Wardha,-,-,-,18.20346389,77.86576667,No,0,416.00,29-05-2020 09:00,0.776
191,Sri Komaram Bheem Project,Telangana SW,36,Telangana,501,ADILABAD,ASIFABAD,-,-,Godavari,Godavari,Wardha,-,-,-,19.41253056,79.29257222,No,0,185.25,01-10-2012 06:00,192.369
192,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 06:00,7.599
193,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 07:00,7.186
194,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 08:00,7.599
195,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 09:00,7.599
196,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 10:00,0.022
197,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 10:15,0.057
198,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 10:30,7.599
199,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 10:45,0.026
200,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 11:00,7.599
201,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 11:15,0
202,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 11:30,0.042
203,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 11:45,0.074
204,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 12:00,0
205,Yousufnagar,Telangana SW,36,Telangana,681,JAGITYAL,Korutla,-,-,Godavari,Godavari,Wardha,-,-,-,18.87583333,78.67055556,No,0,656.00,01-10-2012 12:15,0
